,d_name,edp_365,current_expense_ada,current_expense_per_ada,lea_type
757,Vacaville Unified,122295710.69,10883.27,11237.037277399164,Unified
758,Vallejo City Unified,150107174.79,10878.6,13798.390858198663,Unified
759,Petaluma City Elementary/Joint Union High,89056295.88,7137.72,12476.85477715573,Comm admin dist
760,Santa Rosa City Schools,184598204.56,13597.52,13575.87299448723,Comm admin dist
762,West Sonoma County Union High,22313161.76,1706.2,13077.694150744344,High
766,Cloverdale Unified,17819173.92,1308.54,13617.599706543171,Unified
770,Geyserville Unified,4126485.56,216.26,19081.131785813373,Unified
787,Sonoma Valley Unified,51923529.47,3624.02,14327.605661668533,Unified
794,Cotati-Rohnert Park Unified,70052793.76,5451.88,12849.291209637777,Unified
795,Windsor Unified,45858243.04,3701.78,12388.160031120164,Unified
796,Healdsburg Unified,22925988.7,1363.12,16818.76041727801,Unified
797,Modesto City Schools,372364880.75,28117.879999999997,13242.99274162917,Comm admin dist
798,Ceres Unified,160295158.34,13122.3,12215.477343148686,Unified
800,Denair Unified,16608946.79,1223.1299999999999,13579.05274991211,Unified
808,Patterson Joint Unified,75714529.71,5728.4,13217.395731792472,Unified
815,Newman-Crows Landing Unified,39499642.97,3077.37,12835.519606027225,Unified
816,Hughson Unified,21977692.9,1965.96,11179.114987080102,Unified
817,Riverbank Unified,35204813.16,2284.66,15409.213257114843,Unified
818,Oakdale Joint Unified,55107626.93,5040.21,10933.59739574343,Unified
819,Waterford Unified,22419982.45,1726.74,12983.994376686704,Unified
820,Turlock Unified,167998002.49,13455.59,12485.368719617647,Unified
823,East Nicolaus Joint Union High,3400815.91,286.79,11858.209526134106,High
825,Live Oak Unified,21008591.37,1766.13,11895.268960948515,Unified
830,Sutter Union High,8138204.03,723.2,11253.047607853981,High
832,Yuba City Unified,152239409.58,11722.5,12986.940463211773,Unified
835,Corning Union High,12521664.56,954.49,13118.696434745258,High
842,Los Molinos Unified,7379135.55,532.97,13845.31127455579,Unified
844,Red Bluff Joint Union High,21509751.29,1538.1,13984.624725310448,High
853,Southern Trinity Joint Unified,2396141.58,84.64,28309.80127599244,Unified
854,Mountain Valley Unified,4432838.81,244.91,18099.86856396227,Unified
855,Trinity Alps Unified,10470101.73,682.24,15346.654740267355,Unified
857,Alpaugh Unified,4284673.95,301.57,14207.891865901782,Unified
862,Cutler-Orosi Joint Unified,51526210.03,3940.12,13077.319987716111,Unified
869,Lindsay Unified,67878366.04,3941.17,17222.897271622387,Unified
890,Tulare Joint Union High,73170089.68,5379.58,13601.450239609785,High
891,Visalia Unified,328174802.84,27668.73,11860.855299104802,Unified
894,Farmersville Unified,33044278.39,2410.62,13707.792348026649,Unified
895,Porterville Unified,157617978.35,12599.96,12509.40307350182,Unified
896,Dinuba Unified,76425914.54,6302.28,12126.708832359085,Unified
897,Woodlake Unified,26587448.21,2015.75,13189.854004712886,Unified
898,Exeter Unified,32297132.11,2617.14,12340.620719564105,Unified
